"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team","player_hist_link","player_fullname"
1,"48844.jpg","Ospina",3,"d",48844,"David","Ospina",13,"Groin Injury - 25% chance of playing",48,25,25,"0.0","0.0",-2,-1,2,1,FALSE,0,"0.2","0.0",6599,1072,135,12,0,0,0,0,0,0,"0.0","-0.1","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,1,1,"https://fantasy.premierleague.com/drf/element-summary/1","David Ospina"
2,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",33,"",54,NA,NA,"0.3","7.4",-1,0,1,0,FALSE,0,"5.3","1.5",137153,67113,4678,751,0,0,0,0,40,2,"3.6","1.0","1.5",FALSE,990,0,0,4,16,0,0,0,0,0,24,3,193,"209.6","0.0","0.0","20.9",0,1,1,"https://fantasy.premierleague.com/drf/element-summary/2","Petr Cech"
3,"98980.jpg","Martinez",3,"u",98980,"Damian Emiliano","Martinez",26,"Season-long loan to Getafe",40,0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.7","0.0",21460,911,367,14,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,1,1,"https://fantasy.premierleague.com/drf/element-summary/3","Damian Emiliano Martinez"
4,"51507.jpg","Koscielny",3,"a",51507,"Laurent","Koscielny",6,"",60,100,100,"0.2","3.8",0,0,0,0,FALSE,0,"0.9","1.0",35742,29364,975,717,0,0,0,0,23,0,"2.9","0.5","1.0",FALSE,714,0,0,3,11,0,0,0,2,0,0,1,169,"207.4","39.5","27.0","27.4",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/4","Laurent Koscielny"
5,"17127.jpg","Mertesacker",3,"d",17127,"Per","Mertesacker",4,"Illness - 75% chance of playing",49,100,75,"0.6","2.4",-1,0,1,0,FALSE,1,"0.6","3.0",26325,22893,2327,321,0,0,0,0,12,0,"4.0","2.5","2.3",FALSE,270,1,0,0,5,0,0,0,0,0,0,2,61,"110.4","1.8","36.0","14.8",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/5","Per Mertesacker"
6,"158074.jpg","Gabriel",3,"u",158074,"Gabriel Armando","de Abreu",5,"Joined Valencia on 18/8",50,0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.0","0.0",1807,299,30,4,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/6","Gabriel Armando de Abreu"
7,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",24,"",59,NA,NA,"0.2","6.4",-1,0,1,0,FALSE,1,"9.7","1.3",393926,172292,11305,1862,0,0,0,0,38,1,"3.5","0.8","1.3",FALSE,990,0,1,4,16,0,0,0,1,0,0,4,197,"116.4","184.2","179.0","48.1",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/7","Héctor Bellerín"
8,"42427.jpg","Gibbs",35,"a",42427,"Kieran","Gibbs",3,"",50,100,100,"0.4","3.2",0,0,0,0,FALSE,0,"0.4","1.8",13837,20550,567,221,0,0,0,0,16,2,"2.0","1.8","0.8",FALSE,657,0,0,1,11,0,0,0,0,0,0,0,94,"110.6","79.2","60.0","25.0",0,2,19,"https://fantasy.premierleague.com/drf/element-summary/8","Kieran Gibbs"
9,"80254.jpg","Jenkinson",3,"u",80254,"Carl","Jenkinson",25,"Season-long loan to Birmingham",45,0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.2","0.0",12177,694,70,5,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/9","Carl Jenkinson"
10,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",56,NA,NA,"0.4","9.1",1,0,-1,0,FALSE,1,"10.7","2.5",281879,542729,21741,9195,0,0,0,0,51,0,"4.6","2.0","2.5",FALSE,990,2,0,4,16,0,0,0,1,0,0,8,272,"317.4","112.7","73.0","50.4",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/10","Nacho Monreal"
