"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team","player_hist_link","player_fullname"
1,"48844.jpg","Ospina",3,"a",48844,"David","Ospina",13,"",47,NA,NA,"0.0","0.0",-3,0,3,0,FALSE,0,"0.2","0.0",5661,1665,47,9,0,0,0,0,0,0,"0.0","1.0","1.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",56,1,1,"https://fantasy.premierleague.com/drf/element-summary/1","David Ospina"
2,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",33,"",54,NA,NA,"1.0","14.1",-1,0,1,0,FALSE,0,"15.0","5.2",389787,279265,4173,3206,0,0,0,0,76,4,"3.5","6.2","6.2",FALSE,1980,0,0,7,23,1,0,0,2,0,63,0,383,"436.0","0.1","0.0","43.8",409,1,1,"https://fantasy.premierleague.com/drf/element-summary/2","Petr Cech"
3,"51507.jpg","Koscielny",3,"a",51507,"Laurent","Koscielny",6,"",63,100,100,"1.0","15.1",3,0,-3,0,FALSE,3,"18.1","6.6",434862,845303,5792,7199,0,0,0,0,95,8,"4.5","7.6","7.6",FALSE,1863,2,1,7,19,0,0,0,3,0,0,17,513,"581.2","25.0","200.0","80.9",493,2,1,"https://fantasy.premierleague.com/drf/element-summary/3","Laurent Koscielny"
4,"17127.jpg","Mertesacker",3,"i",17127,"Per","Mertesacker",4,"Knee injury - Unknown return date",48,0,0,"0.0","0.0",-2,0,2,0,FALSE,0,"0.1","0.0",5070,1100,43,28,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",265,2,1,"https://fantasy.premierleague.com/drf/element-summary/4","Per Mertesacker"
5,"158074.jpg","Gabriel",3,"a",158074,"Gabriel Armando","de Abreu",5,"",48,100,100,"0.9","5.6",-2,0,2,0,FALSE,0,"0.7","4.2",19383,36673,923,1404,0,0,0,0,27,2,"2.7","5.2","5.2",FALSE,822,0,0,3,8,0,0,0,2,0,0,0,164,"149.8","33.0","30.0","21.3",244,2,1,"https://fantasy.premierleague.com/drf/element-summary/5","Gabriel Armando de Abreu"
6,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",24,"",65,75,100,"0.5","10.9",0,0,0,0,FALSE,1,"14.9","3.2",939123,358121,4750,1153,0,0,0,0,71,1,"3.9","3.2","4.2",FALSE,1508,0,3,6,20,0,0,0,1,0,0,10,326,"240.2","263.7","221.0","72.2",541,2,1,"https://fantasy.premierleague.com/drf/element-summary/6","Héctor Bellerín"
7,"42427.jpg","Gibbs",3,"a",42427,"Kieran","Gibbs",3,"",47,75,100,"0.2","2.6",-3,0,3,0,FALSE,0,"0.5","1.0",22572,6860,122,57,0,0,0,0,12,0,"2.4","1.5","2.0",FALSE,207,0,1,1,1,0,0,0,2,0,0,0,59,"71.8","108.5","43.0","22.3",69,2,1,"https://fantasy.premierleague.com/drf/element-summary/7","Kieran Gibbs"
8,"27334.jpg","Debuchy",3,"i",27334,"Mathieu","Debuchy",2,"Hamstring injury - Unknown return date",46,0,0,"0.0","0.2",-4,-1,4,1,FALSE,0,"0.2","0.0",10119,1818,48,12,0,0,0,0,1,0,"1.0","0.0","0.0",FALSE,15,0,0,0,0,0,0,0,0,0,0,0,2,"1.0","1.4","0.0","0.2",11,2,1,"https://fantasy.premierleague.com/drf/element-summary/8","Mathieu Debuchy"
9,"80254.jpg","Jenkinson",3,"a",80254,"Carl","Jenkinson",25,"",49,100,100,"0.0","0.4",-1,0,1,0,FALSE,0,"0.1","0.0",9612,9585,46,14,0,0,0,0,2,0,"2.0","1.0","1.0",FALSE,82,0,0,0,1,0,0,0,0,0,0,0,12,"19.4","2.0","0.0","2.1",178,2,1,"https://fantasy.premierleague.com/drf/element-summary/9","Carl Jenkinson"
10,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",59,100,100,"0.5","10.8",-1,0,1,0,FALSE,0,"4.1","3.0",197783,120482,2065,1014,0,0,0,0,64,2,"3.0","4.0","4.0",FALSE,1803,0,1,6,22,0,0,0,2,0,0,4,390,"329.4","175.1","116.0","62.2",511,2,1,"https://fantasy.premierleague.com/drf/element-summary/10","Nacho Monreal"
