"player_id","player_fullname","id","season_name","element_code","start_cost","end_cost","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","season"
1,"David Ospina",5424,"2014/15",48844,50,50,76,1620,0,0,8,11,0,0,0,0,0,47,0,301,"0.0","0.0","0.0","0.0",241,9
1,"David Ospina",6096,"2015/16",48844,50,47,20,360,0,0,2,5,0,0,0,0,0,17,2,98,"0.0","0.0","0.0","0.0",56,10
2,"Petr Cech",115,"2006/07",11334,65,64,98,1714,0,0,0,9,0,0,0,1,0,58,1,0,"0.0","0.0","0.0","0.0",0,1
2,"Petr Cech",807,"2007/08",11334,65,65,120,2313,0,0,0,17,0,0,0,0,0,60,2,0,"0.0","0.0","0.0","0.0",0,2
2,"Petr Cech",1426,"2008/09",11334,60,60,171,3150,0,0,0,24,0,1,0,0,0,87,7,0,"0.0","0.0","0.0","0.0",0,3
2,"Petr Cech",2156,"2009/10",11334,65,62,144,3020,0,1,0,26,1,1,0,0,1,66,0,0,"0.0","0.0","0.0","0.0",0,4
2,"Petr Cech",2829,"2010/11",11334,65,67,158,3420,0,1,15,33,0,1,0,0,0,98,2,0,"0.0","0.0","0.0","0.0",0,5
2,"Petr Cech",3319,"2011/12",11334,70,68,127,3060,0,0,10,39,0,0,0,0,0,94,7,0,"0.0","0.0","0.0","0.0",399,6
2,"Petr Cech",3991,"2012/13",11334,65,64,144,3195,0,0,14,36,0,0,0,2,0,126,2,0,"0.0","0.0","0.0","0.0",502,7
2,"Petr Cech",4699,"2013/14",11334,65,62,146,3060,0,0,16,24,0,0,0,0,0,82,1,163,"0.0","0.0","0.0","0.0",417,8
2,"Petr Cech",5389,"2014/15",11334,60,54,38,607,0,0,5,2,0,0,0,0,0,16,0,129,"0.0","0.0","0.0","0.0",103,9
2,"Petr Cech",6097,"2015/16",11334,55,59,159,3060,0,0,16,31,0,0,0,0,0,101,15,705,"0.0","0.0","0.0","0.0",409,10
3,"Laurent Koscielny",2641,"2010/11",51507,60,59,85,2617,2,0,9,36,0,0,0,5,2,0,0,0,"0.0","0.0","0.0","0.0",0,5
3,"Laurent Koscielny",3383,"2011/12",51507,60,58,103,2871,2,1,11,42,2,0,0,8,0,0,5,0,"0.0","0.0","0.0","0.0",436,6
3,"Laurent Koscielny",4059,"2012/13",51507,55,53,88,1675,2,1,7,19,0,0,0,1,1,0,11,0,"0.0","0.0","0.0","0.0",285,7
